Name,ID,X,Y,Sewer inputs,DWF enabled,Method,Units,Flow rate,Area,Density,Peaking factor,Winter water use,Landuse,Pattern,Pattern resolved
29-3-28,134,43609.91,59871.37,true,,,2,24,0,0,1,0,3,Commercial1,Yes
29-3-28.5,134,43569.78,59662.55,,,,,,,,,,,,
29-3-29,134,43581.11,60191.44,,,,,,,,,,,,
29-3-29.1,134,43596.71,60023.1,,,,,,,,,,,,
29-3-3,134,42921.24,58628.8,true,true,0,2,12,0,0,1,0,3,Daily1,Yes
29-3-30,134,43573.29,60410.1,,,,,,,,,,,,
29-3-31,134,43611.35,60570.83,true,,,2,50,0,0,1,0,3,Commercial1,Yes
29-3-32,134,43659.55,60772.78,,true,0,,,,,,,,,
29-3-33,134,42789.71,58330.11,,,,,,,,,,,,
29-3-34,134,42937.08,58646.59,,,,,,,,,,,,
29-3-35,134,43052.63,58830.78,,,,,,,,,,,,
29-3-36,134,43154.63,58994.49,,,,,,,,,,,,
29-3-37,134,43266.95,59174.37,,,,,,,,,,,,
29-3-38,134,43301.84,59228.65,,,,,,,,,,,,
29-3-39,134,43349.81,59304.6,,,,,,,,,,,,
29-3-4,134,42930.21,58644.6,,,,,,,,,,,,
29-3-40,134,43364.64,59358.04,true,true,0,2,35,0,0,1,0,3,Daily1,Yes
29-3-41,134,43535.84,59763.14,,,,,,,,,,,,
29-3-42,134,43460.26,59933.77,,,,,,,,,,,,
29-3-43,134,43312.7,60121.92,,,,,,,,,,,,
29-3-44,134,43114.56,60277.05,,,,,,,,,,,,
29-3-45,134,43010.16,60354.25,true,,,2,46,0,0,1,0,3,Commercial1,Yes
29-3-48,134,42926.2,60415.03,true,,,2,8,0,0,1,0,3,Commercial1,Yes
29-3-51,134,42570.53,60680.81,,,,,,,,,,,,
29-3-52,134,42438.75,60802.5,,,,,,,,,,,,
29-3-63,134,43413.12,59325.19,,true,0,,,,,,,,,
29-3-65,134,43430.36,59303.06,,true,0,,,,,,,,,
29-3-66,134,43469.98,59274.07,true,true,0,2,35,0,0,1,0,3,Daily1,Yes
29-3-67,134,43698.44,59159.47,,true,0,,,,,,,,,
