name,id,x,y,ground_elevation,invert_elevation,node_type
26-3-24,134,58492.13,60417.1,4848.89,4838.09,
26-3-25,134,58637.82,60339.37,4851.64,4840.72,19
26-3-3,134,57846.51,60683.32,4836.59,4827.69,
26-3-4,134,57921.71,60660.02,4837.72,4828.64,19
26-3-70,134,58648.95,60349.81,4852.33,4841.21,
26-3-71,134,58984.62,60170.26,4858.43,4846.8,19
26-3-72,134,59006.97,60196.39,4857.73,4847.62,
26-3-73,134,59217.22,60083.43,4861.7,4851.19,
26-3-73.1,134,59465.57,59951.3,4864.2,4855.06,19
26-3-73.5,134,59344.72,60013.95,4863.13,4854.81,
26-3-74,134,59484.05,59939.71,4864.34,4855.24,
26-3-75,134,59736.72,59803.58,4865.43,4855.69,
26-3-76,134,59821.38,59730.77,4866.42,4855.77,19
26-3-83,134,59909.36,59659.42,4866.4,4855.99,
26-3-84,134,60046.9,59582.85,4867.43,4858,19
27-1-45,134,52144.09,57954.31,4773.26,4765,
27-1-46,134,52141.68,57649.69,4783.84,4772.68,
27-1-47,134,52141.59,57568.24,4784.57,4772.98,19
27-1-47.1,134,52141.53,57484.39,4785.19,4773.29,19
27-1-48,134,52139.22,57254.1,4786.15,4774.33,19
27-1-49,134,52139.03,57219.56,4786.42,4774.54,19
27-1-51,134,52134.99,56742.66,4789.13,4778.61,
27-1-52,134,50131.04,55583.61,4590.24,4582.54,19
27-2-101,134,51104.89,60731.18,4568.5,4561.37,19
27-2-102,134,51501.67,60727.25,4577.89,4570.09,
27-2-103,134,51853.53,60724.02,4588.32,4578.17,
27-2-104,134,52167.39,60719.24,4602.51,4592.17,19
27-2-105,134,52164.19,60353.4,4615.79,4607.02,
27-2-106,134,52161.41,60002.07,4623.29,4613.87,
27-2-107,134,52159.59,59864.34,4626.86,4619.48,19
27-2-108,134,52159.14,59737.16,4633.42,4624.55,19
27-2-109,134,52158.8,59699.7,4635.79,4626.28,
27-2-110,134,52156.81,59463.91,4652.43,4643.27,19
27-2-111,134,52156.32,59350.07,4660.23,4650.95,
27-2-112,134,52155.14,59223.07,4668.77,4660,19
27-2-113,134,52152.33,58954.6,4688.62,4678.43,
27-2-114,134,52152.04,58718.03,4707.33,4699.12,19
27-2-115,134,52149.56,58602.5,4717.97,4709.3,
27-2-116,134,52148.68,58469.71,4730.54,4721.26,19
27-2-117,134,52146.72,58257.07,4750.81,4740.72,
27-2-118,134,52146.48,58226.88,4753.44,4743.18,19
27-2-3,134,49501.43,59415.4,4574.22,4565.13,19
27-2-4,134,49503.73,59798.61,4558.16,4547.91,
27-2-5,134,49505.11,60096.65,4546.98,4537.15,
27-2-54,134,49906.6,60781.27,4532.59,4523.37,
27-2-55,134,49980.09,60772.75,4534.75,4525.19,19
27-2-6,134,49507.01,60446.73,4533.84,4524.16,
27-2-69,134,50516.22,60732.36,4549.81,4539.48,
27-2-69.1,134,50267.1,60739.64,4542.59,4532.21,
27-2-7,134,49507.61,60828.97,4523.54,4514.29,19
27-2-70,134,50704.66,60734.83,4556.02,4546.11,
27-2-71,134,51054.9,60731.18,4567.01,4559.31,
27-3-102,134,53552.05,60712.18,4678.28,4668.83,
27-3-103,134,53899.84,60711.69,4709.98,4700.43,
27-3-104,134,54250.37,60712.84,4746.76,4735.74,
27-3-105,134,54545.02,60709.85,4773.5,4764.34,19
27-3-87,134,52499.2,60717.27,4617.2,4606.75,
27-3-88,134,52903.24,60715.1,4635.82,4626.95,
27-3-89,134,53205.59,60713.7,4653.1,4642.81,
27-3-90,134,53328.22,60713.23,4661.2,4652.08,19
27-4-24,134,52342.73,56740.79,4789.9,4779.61,19
27-4-25,134,52897.49,56733.18,4790.47,4782.04,19
27-4-29,134,53068.79,56649.39,4789.77,4782.73,19
27-4-31,134,53172.32,56599.69,4791.39,4783.31,
27-4-32,134,53432.54,56339.77,4795.23,4784.53,
27-4-33,134,53646.89,56127.31,4803.31,4793.13,
27-4-34,134,53762.77,56012.89,4809.84,4799.2,19
27-4-37,134,53929.49,55845.5,4820.77,4810.52,
27-4-38,134,54177.96,55598.77,4838.17,4827.03,
27-4-39,134,54343.04,55479.39,4847.92,4837.23,
